source,target,attr_0
0,711589,1
0,740243,2
0,736015,1
0,1107882,1
0,997899,1
0,792781,1
0,717165,1
0,984237,1
0,901660,1
0,719416,1
0,967434,1
711589,0,1
711589,711620,1
711620,711589,1
711620,718128,1
718128,711620,1
718128,929889,1
929889,718128,1
929889,968304,1
968304,929889,1
968304,1518292,1
968304,967434,1
968304,968474,1
1518292,968304,1
1518292,19018811,1
19018811,1518292,1
19018811,19019113,1
19019113,19018811,1
19019113,19019114,1
19019114,19019113,1
19019114,19019308,1
19019308,19019114,1
19019308,19019419,1
19019419,19019308,1
19019419,19059056,1
19059056,19019419,1
19059056,19077241,1
19077241,19059056,1
19077241,19080217,1
19077241,19073094,1
19077241,19077653,1
19080217,19077241,1
19080217,19112670,1
19080217,19079658,1
19080217,19090159,1
19080217,19080129,1
19080217,19102471,1
19080217,19078924,1
19080217,19080985,1
19112670,19080217,1
19112670,35603600,1
35603600,19112670,1
35603600,40162494,1
35603600,19135374,1
35603600,35604352,1
40162494,35603600,1
40162494,40163208,1
40162494,37003518,1
40162494,40162511,1
40163208,40162494,1
40163208,40163234,1
40163234,40163208,1
40163234,40173353,1
40173353,40163234,1
40173353,40175210,1
40175210,40173353,1
40175210,42708415,1
40175210,40175174,1
40175210,40176686,1
42708415,40175210,1
42708415,46287328,1
42708415,40238017,1
42708415,42707627,1
42708415,42708429,1
42708415,40241504,1
42708415,44506781,1
46287328,42708415,1
1154615,1716905,1
1716905,1154615,1
1716905,19023368,1
19023368,1716905,1
19023368,19023551,1
19023368,1750562,1
19023368,19023564,1
19023551,19023368,1
19023551,19073777,1
19023551,19020053,1
19023551,19057064,1
19073777,19023551,1
19073777,19115197,1
19073777,19073219,1
19073777,19075602,1
19115197,19073777,1
19115197,36250141,1
19115197,19098138,1
19115197,19123202,1
36250141,19115197,1
36250141,40221700,1
36250141,36250122,1
36250141,42799410,1
40221700,36250141,1
40221700,40225949,1
40221700,40221381,1
40221700,40223141,1
40225949,40221700,1
40225949,40242221,1
40225949,40225159,1
40225949,40225960,1
40242221,40225949,1
40242221,40243855,1
40243855,40242221,1
40243855,42800463,1
42800463,40243855,1
42800463,42902110,1
42902110,42800463,1
42902110,43532840,1
43532840,42902110,1
43532840,46275169,1
43532840,42800473,1
43532840,46287424,1
46275169,43532840,1
740243,0,2
740243,797415,1
740243,906891,1
797415,740243,1
797415,922806,1
922806,797415,1
922806,932749,1
922806,915209,1
922806,963359,1
932749,922806,1
932749,932750,2
932749,906891,1
932750,932749,2
932750,932777,2
932777,932750,2
932777,938330,1
932777,956877,1
938330,932777,1
938330,948080,1
938330,915209,1
938330,963359,1
948080,938330,1
948080,975505,1
975505,948080,1
975505,992673,1
992673,975505,1
992673,1113346,1
1113346,992673,1
1113346,1127433,3
1113346,736015,1
1113346,1545997,1
1113346,1113076,1
1127433,1113346,3
1127433,1300751,3
1127433,1107882,1
1127433,1134771,1
1127433,996625,1
1127433,1136682,1
1127433,1153013,1
1127433,967434,1
1300751,1127433,3
1300751,1301197,1
1300751,1303339,3
1300751,901660,1
1301197,1300751,1
1301197,1303339,1
1303339,1301197,1
1303339,1309800,1
1303339,1300751,3
1303339,1329476,1
1303339,1360067,2
1309800,1303339,1
1309800,1360067,1
1360067,1309800,1
1360067,1361675,1
1360067,1329476,1
1360067,1381661,3
1360067,1303339,2
1361675,1360067,1
1361675,1366755,1
1366755,1361675,1
1366755,1366757,1
1366755,1363058,1
1366755,1506426,1
1366757,1366755,1
1366757,1369963,1
1369963,1366757,1
1369963,1381661,1
1381661,1369963,1
1381661,1391470,4
1381661,1360067,3
1391470,1381661,4
1391470,1391575,4
1391575,1391470,4
1391575,1395773,4
1395773,1391575,4
1395773,1396012,4
1396012,1395773,4
1396012,1396131,4
1396131,1396012,4
1396131,1400498,4
1400498,1396131,4
1400498,1507838,1
1400498,1521369,1
1400498,1595799,1
1400498,1519937,1
1507838,1400498,1
1507838,1560751,1
1560751,1507838,1
1560751,1593063,1
1560751,1545996,1
1560751,1593611,1
1593063,1560751,1
1593063,1593459,1
1593063,1545997,1
1593063,1593742,1
1593459,1593063,1
1593459,1593966,1
1593966,1593459,1
1593966,1595799,1
1595799,1593966,1
1595799,1707348,1
1595799,1521369,1
1595799,19000753,1
1595799,1400498,1
1595799,1750299,1
1595799,1519937,1
1595799,1703691,1
1707348,1595799,1
1707348,1718737,1
1707348,1593611,1
1707348,1718752,1
1707348,1167323,1
1707348,1735948,1
1718737,1707348,1
1718737,1718752,1
1718752,1718737,1
1718752,1790982,1
1718752,1707348,1
1718752,1836434,1
1790982,1718752,1
1790982,19000753,1
19000753,1790982,1
19000753,19003345,4
19000753,1595799,1
19000753,1750299,1
19000753,1703691,1
19003345,19000753,4
19003345,19009557,4
19009557,19003345,4
19009557,19012705,1
19009557,19016234,3
19012705,19009557,1
19012705,19016234,1
19012705,19019074,1
19016234,19012705,1
19016234,19018482,4
19016234,19009557,3
19018482,19016234,4
19018482,19018750,1
19018482,19019073,3
19018750,19018482,1
19018750,19019418,1
19018750,19007652,1
19018750,19018781,1
19019418,19018750,1
19019418,19020131,1
19019418,19019116,1
19019418,19026476,1
19019418,19019073,1
19019418,19020053,1
19020131,19019418,1
19020131,19020136,1
19020136,19020131,1
19020136,19036828,1
