id,name
0,No matching concept
523204,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule
711589,levetiracetam 500 MG Oral Tablet
711620,5 ML levetiracetam 100 MG/ML Injection
717165,neostigmine methylsulfate 0.5 MG/ML Injectable Solution
718128,oxcarbazepine 300 MG Oral Tablet
719416,amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Oral Tablet
723042,diazepam 5 MG Oral Tablet
736015,risperidone 1 MG/ML Oral Solution
739207,sertraline 100 MG Oral Tablet
739209,sertraline 50 MG Oral Tablet
740243,250 ML norepinephrine 0.016 MG/ML Injection
787787,hyaluronate
792781,"0.5 ML varicella zoster virus glycoprotein E, recombinant 0.1 MG/ML Injection"
797415,gabapentin 50 MG/ML Oral Solution
798875,clonazepam 0.5 MG Oral Tablet
901660,benzocaine 200 MG/ML / menthol 5 MG/ML Topical Spray
906116,tropicamide 10 MG/ML Ophthalmic Solution
906891,metoclopramide 10 MG Oral Tablet
908523,mineral oil
915209,bacitracin 5000 UNT/ML Injectable Solution
922806,nystatin 100 UNT/MG Topical Powder
929889,lansoprazole 30 MG Delayed Release Oral Capsule
932749,bumetanide 1 MG Oral Tablet
932750,bumetanide 2 MG Oral Tablet
932777,bumetanide 0.25 MG/ML Injectable Solution
938330,"sennosides, USP 8.6 MG Oral Tablet"
948080,pantoprazole 40 MG Injection
956877,furosemide 80 MG Oral Tablet
957235,10 ML furosemide 10 MG/ML Prefilled Syringe
963359,glycopyrrolate 0.2 MG/ML Injectable Solution
967434,simethicone 80 MG Chewable Tablet
968304,1000 ML potassium chloride 0.02 MEQ/ML / sodium chloride 9 MG/ML Injection
968474,sodium chloride 100 MG/ML Inhalation Solution
970282,spironolactone 100 MG Oral Tablet
970283,spironolactone 50 MG Oral Tablet
974199,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet
974200,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet
975505,hydrocortisone 100 MG Injection
984237,isotretinoin 40 MG Oral Capsule
987250,lactulose 667 MG/ML Oral Solution
992673,chlorothiazide 500 MG Injection
996625,fluorescein
997899,clindamycin 300 MG Oral Capsule
1107882,loratadine 10 MG Oral Tablet
1113076,ipratropium bromide 0.2 MG/ML Inhalation Solution
1113346,aspirin 81 MG Chewable Tablet
1127433,acetaminophen 325 MG Oral Tablet
1134771,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG Oral Tablet
1136682,benzonatate 100 MG Oral Capsule
1136687,benzonatate 200 MG Oral Capsule
1153013,promethazine
1154615,200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler
1167323,allopurinol 100 MG Oral Tablet
1192219,levalbuterol 0.417 MG/ML Inhalation Solution
1192251,200 ACTUAT levalbuterol 0.045 MG/ACTUAT Metered Dose Inhaler
1201620,codeine
1300751,polysaccharide iron complex
1301154,melatonin 3 MG Oral Tablet
1301156,melatonin 1 MG Oral Tablet
1301197,melatonin 5 MG Oral Tablet
1303339,iron succinyl milk protein complex
1308221,lisinopril 40 MG Oral Tablet
1308251,lisinopril 5 MG Oral Tablet
1308797,vitamin B12 2 MG Extended Release Oral Tablet
1309800,eplerenone 25 MG Oral Tablet
1322189,clopidogrel 300 MG Oral Tablet
1329476,dinoprostone 10 MG Drug Implant
1332419,amlodipine 5 MG Oral Tablet
1341270,terazosin 2 MG Oral Capsule
1341302,terazosin 5 MG Oral Capsule
1346990,carvedilol 3.125 MG Oral Tablet
1360067,iron
1361660,0.5 ML influenza A virus A/Brisbane/02/2018 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Kansas/14/2017 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.12 MG/ML Prefilled Syringe
1361675,"100 ML insulin, regular, human 1 UNT/ML Injection"
1363058,doxazosin 2 MG Oral Tablet
1366755,50 ML calcium gluconate 20 MG/ML Injection
1366757,300 ML vancomycin 5 MG/ML Injection
1369963,6-aminocaproic acid 250 MG/ML Injectable Solution
1381661,iron-dextran complex
1391470,ferrous asparto glycinate
1391575,ferrous aspartate
1395573,chondroitin sulfates
1395773,iron sucrose
1396012,ferrous gluconate
1396131,ferrous sulfate
1400498,iron carbonyl
1506426,methylprednisolone 4 MG Oral Tablet
1507838,vasopressin (USP) 20 UNT/ML Injectable Solution
1518292,dexamethasone 4 MG Oral Tablet
1519937,etonogestrel 68 MG Drug Implant
1521369,norethindrone
1545996,atorvastatin 40 MG Oral Tablet
1545997,atorvastatin 10 MG Oral Tablet
1551101,prednisone 10 MG Oral Tablet
1560751,50 ML glucose 500 MG/ML Prefilled Syringe
